"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2010,"2010/11 financial year",61911,15.21,15.1,15.32,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2010,"2010/11 financial year",3805,13.79,13.38,14.2,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeen City","S12000033","Council area",2010,"2010/11 financial year",28630,13.03,12.89,13.17,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeenshire","S12000034","Council area",2010,"2010/11 financial year",29868,11.88,11.75,12.01,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Angus","S12000041","Council area",2010,"2010/11 financial year",17262,14.96,14.75,15.16,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Argyll & Bute","S12000035","Council area",2010,"2010/11 financial year",12446,14.04,13.82,14.27,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","City of Edinburgh","S12000036","Council area",2010,"2010/11 financial year",58049,12.35,12.26,12.45,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Clackmannanshire","S12000005","Council area",2010,"2010/11 financial year",8285,16.14,15.82,16.46,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dumfries & Galloway","S12000006","Council area",2010,"2010/11 financial year",22280,14.75,14.57,14.92,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dundee City","S12000042","Council area",2010,"2010/11 financial year",25944,17.76,17.57,17.96,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Ayrshire","S12000008","Council area",2010,"2010/11 financial year",19356,15.81,15.61,16.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Dunbartonshire","S12000045","Council area",2010,"2010/11 financial year",14273,13.6,13.4,13.81,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Lothian","S12000010","Council area",2010,"2010/11 financial year",14671,14.8,14.58,15.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Renfrewshire","S12000011","Council area",2010,"2010/11 financial year",12467,13.79,13.57,14.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Falkirk","S12000014","Council area",2010,"2010/11 financial year",23655,15.25,15.07,15.43,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Fife","S12000047","Council area",2010,"2010/11 financial year",55334,15.26,15.14,15.38,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Glasgow City","S12000049","Council area",2010,"2010/11 financial year",102525,17.48,17.38,17.58,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Highland","S12000017","Council area",2010,"2010/11 financial year",30587,13.26,13.12,13.4,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Inverclyde","S12000018","Council area",2010,"2010/11 financial year",14268,17.5,17.25,17.77,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Midlothian","S12000019","Council area",2010,"2010/11 financial year",12482,15.16,14.91,15.4,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Moray","S12000020","Council area",2010,"2010/11 financial year",11839,12.64,12.43,12.85,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Na h-Eileanan Siar","S12000013","Council area",2010,"2010/11 financial year",3805,13.79,13.38,14.2,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Ayrshire","S12000021","Council area",2010,"2010/11 financial year",22386,16.25,16.05,16.44,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Lanarkshire","S12000050","Council area",2010,"2010/11 financial year",53086,15.79,15.66,15.91,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Orkney Islands","S12000023","Council area",2010,"2010/11 financial year",2605,12.28,11.84,12.72,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Perth & Kinross","S12000048","Council area",2010,"2010/11 financial year",18705,12.85,12.68,13.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Renfrewshire","S12000038","Council area",2010,"2010/11 financial year",27447,15.8,15.63,15.97,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scottish Borders","S12000026","Council area",2010,"2010/11 financial year",17226,15.15,14.94,15.36,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Shetland Islands","S12000027","Council area",2010,"2010/11 financial year",2703,11.72,11.31,12.14,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Ayrshire","S12000028","Council area",2010,"2010/11 financial year",19080,16.94,16.73,17.17,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Lanarkshire","S12000029","Council area",2010,"2010/11 financial year",51266,16.37,16.24,16.5,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Stirling","S12000030","Council area",2010,"2010/11 financial year",12036,13.44,13.22,13.67,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Dunbartonshire","S12000039","Council area",2010,"2010/11 financial year",16353,18.01,17.76,18.26,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Lothian","S12000040","Council area",2010,"2010/11 financial year",26121,15,14.84,15.17,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2011,"2011/12 financial year",826064,15.59,15.56,15.62,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2011,"2011/12 financial year",63586,17.01,16.89,17.13,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2011,"2011/12 financial year",17977,15.79,15.58,16,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2011,"2011/12 financial year",23371,15.44,15.25,15.62,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2011,"2011/12 financial year",58456,16,15.88,16.12,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2011,"2011/12 financial year",46717,15.67,15.54,15.8,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2011,"2011/12 financial year",74224,13.03,12.94,13.12,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2011,"2011/12 financial year",194967,17.17,17.1,17.24,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2011,"2011/12 financial year",45240,14.06,13.94,14.19,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2011,"2011/12 financial year",109558,16.81,16.72,16.9,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2011,"2011/12 financial year",117970,14.1,14.03,14.18,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2011,"2011/12 financial year",2793,13.04,12.59,13.5,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2011,"2011/12 financial year",2881,12.4,11.98,12.83,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2011,"2011/12 financial year",64403,15.7,15.59,15.81,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2011,"2011/12 financial year",3921,14.16,13.75,14.58,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeen City","S12000033","Council area",2011,"2011/12 financial year",30131,13.54,13.4,13.69,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeenshire","S12000034","Council area",2011,"2011/12 financial year",31649,12.48,12.35,12.61,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Angus","S12000041","Council area",2011,"2011/12 financial year",17832,15.35,15.14,15.55,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Argyll & Bute","S12000035","Council area",2011,"2011/12 financial year",12985,14.6,14.37,14.83,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","City of Edinburgh","S12000036","Council area",2011,"2011/12 financial year",61699,12.91,12.81,13,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Clackmannanshire","S12000005","Council area",2011,"2011/12 financial year",8727,16.95,16.62,17.27,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dumfries & Galloway","S12000006","Council area",2011,"2011/12 financial year",23371,15.44,15.25,15.62,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dundee City","S12000042","Council area",2011,"2011/12 financial year",26864,18.25,18.05,18.45,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Ayrshire","S12000008","Council area",2011,"2011/12 financial year",20327,16.57,16.36,16.78,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Dunbartonshire","S12000045","Council area",2011,"2011/12 financial year",15171,14.45,14.24,14.66,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Lothian","S12000010","Council area",2011,"2011/12 financial year",15530,15.54,15.32,15.77,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Renfrewshire","S12000011","Council area",2011,"2011/12 financial year",12881,14.18,13.96,14.41,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Falkirk","S12000014","Council area",2011,"2011/12 financial year",25236,16.15,15.97,16.33,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Fife","S12000047","Council area",2011,"2011/12 financial year",58456,16,15.88,16.12,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Glasgow City","S12000049","Council area",2011,"2011/12 financial year",106516,17.96,17.86,18.06,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Highland","S12000017","Council area",2011,"2011/12 financial year",32255,13.86,13.72,14,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Inverclyde","S12000018","Council area",2011,"2011/12 financial year",14686,18.08,17.82,18.35,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Midlothian","S12000019","Council area",2011,"2011/12 financial year",13333,15.98,15.73,16.23,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Moray","S12000020","Council area",2011,"2011/12 financial year",12444,13.31,13.1,13.53,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Na h-Eileanan Siar","S12000013","Council area",2011,"2011/12 financial year",3921,14.16,13.75,14.58,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Ayrshire","S12000021","Council area",2011,"2011/12 financial year",23296,16.87,16.67,17.07,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Lanarkshire","S12000050","Council area",2011,"2011/12 financial year",55736,16.5,16.38,16.63,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Orkney Islands","S12000023","Council area",2011,"2011/12 financial year",2793,13.04,12.59,13.5,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Perth & Kinross","S12000048","Council area",2011,"2011/12 financial year",19707,13.42,13.25,13.6,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Renfrewshire","S12000038","Council area",2011,"2011/12 financial year",28886,16.53,16.36,16.71,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scottish Borders","S12000026","Council area",2011,"2011/12 financial year",17977,15.79,15.58,16,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Shetland Islands","S12000027","Council area",2011,"2011/12 financial year",2881,12.4,11.98,12.83,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Ayrshire","S12000028","Council area",2011,"2011/12 financial year",19963,17.67,17.45,17.89,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Lanarkshire","S12000029","Council area",2011,"2011/12 financial year",53822,17.15,17.01,17.28,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Stirling","S12000030","Council area",2011,"2011/12 financial year",12754,14.12,13.89,14.35,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Dunbartonshire","S12000039","Council area",2011,"2011/12 financial year",16827,18.57,18.32,18.83,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Lothian","S12000040","Council area",2011,"2011/12 financial year",27408,15.63,15.47,15.81,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2012,"2012/13 financial year",861481,16.21,16.18,16.24,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2012,"2012/13 financial year",65584,17.57,17.45,17.69,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2012,"2012/13 financial year",18665,16.41,16.2,16.63,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2012,"2012/13 financial year",24155,16.01,15.83,16.2,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2012,"2012/13 financial year",61206,16.71,16.59,16.83,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2012,"2012/13 financial year",49461,16.54,16.4,16.67,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2012,"2012/13 financial year",78050,13.61,13.52,13.7,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2012,"2012/13 financial year",202768,17.83,17.76,17.9,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2012,"2012/13 financial year",46912,14.67,14.55,14.79,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2012,"2012/13 financial year",114685,17.58,17.49,17.68,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2012,"2012/13 financial year",122942,14.57,14.5,14.65,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2012,"2012/13 financial year",2919,13.56,13.11,14.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2012,"2012/13 financial year",2886,12.43,12.02,12.87,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2012,"2012/13 financial year",67247,16.33,16.22,16.45,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2012,"2012/13 financial year",4001,14.52,14.11,14.94,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeen City","S12000033","Council area",2012,"2012/13 financial year",31350,13.94,13.8,14.08,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeenshire","S12000034","Council area",2012,"2012/13 financial year",33431,13.08,12.95,13.21,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Angus","S12000041","Council area",2012,"2012/13 financial year",18526,15.94,15.73,16.15,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Argyll & Bute","S12000035","Council area",2012,"2012/13 financial year",13619,15.67,15.43,15.91,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","City of Edinburgh","S12000036","Council area",2012,"2012/13 financial year",64247,13.31,13.22,13.41,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Clackmannanshire","S12000005","Council area",2012,"2012/13 financial year",9099,17.74,17.42,18.08,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dumfries & Galloway","S12000006","Council area",2012,"2012/13 financial year",24155,16.01,15.83,16.2,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dundee City","S12000042","Council area",2012,"2012/13 financial year",27823,18.83,18.63,19.03,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Ayrshire","S12000008","Council area",2012,"2012/13 financial year",20927,17.05,16.84,17.26,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Dunbartonshire","S12000045","Council area",2012,"2012/13 financial year",16104,15.21,14.99,15.43,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Lothian","S12000010","Council area",2012,"2012/13 financial year",16528,16.39,16.16,16.62,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Renfrewshire","S12000011","Council area",2012,"2012/13 financial year",13424,14.75,14.52,14.98,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Falkirk","S12000014","Council area",2012,"2012/13 financial year",26842,17.12,16.93,17.31,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Fife","S12000047","Council area",2012,"2012/13 financial year",61206,16.71,16.59,16.83,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Glasgow City","S12000049","Council area",2012,"2012/13 financial year",110852,18.63,18.53,18.73,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Highland","S12000017","Council area",2012,"2012/13 financial year",33293,14.3,14.15,14.44,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Inverclyde","S12000018","Council area",2012,"2012/13 financial year",15114,18.73,18.46,19,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Midlothian","S12000019","Council area",2012,"2012/13 financial year",13671,16.23,15.98,16.48,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Moray","S12000020","Council area",2012,"2012/13 financial year",13269,14.28,14.06,14.5,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Na h-Eileanan Siar","S12000013","Council area",2012,"2012/13 financial year",4001,14.52,14.11,14.94,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Ayrshire","S12000021","Council area",2012,"2012/13 financial year",24143,17.55,17.35,17.75,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Lanarkshire","S12000050","Council area",2012,"2012/13 financial year",58437,17.29,17.17,17.42,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Orkney Islands","S12000023","Council area",2012,"2012/13 financial year",2919,13.56,13.11,14.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Perth & Kinross","S12000048","Council area",2012,"2012/13 financial year",20898,14.15,13.97,14.32,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Renfrewshire","S12000038","Council area",2012,"2012/13 financial year",30143,17.29,17.12,17.47,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scottish Borders","S12000026","Council area",2012,"2012/13 financial year",18665,16.41,16.2,16.63,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Shetland Islands","S12000027","Council area",2012,"2012/13 financial year",2886,12.43,12.02,12.87,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Ayrshire","S12000028","Council area",2012,"2012/13 financial year",20514,18.17,17.94,18.39,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Lanarkshire","S12000029","Council area",2012,"2012/13 financial year",56248,17.89,17.76,18.03,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Stirling","S12000030","Council area",2012,"2012/13 financial year",13520,14.86,14.63,15.09,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Dunbartonshire","S12000039","Council area",2012,"2012/13 financial year",17131,18.96,18.71,19.22,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Lothian","S12000040","Council area",2012,"2012/13 financial year",28496,16.19,16.02,16.36,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2013,"2013/14 financial year",894059,16.78,16.75,16.81,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2013,"2013/14 financial year",68314,18.35,18.23,18.48,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2013,"2013/14 financial year",19233,16.89,16.67,17.11,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2013,"2013/14 financial year",24857,16.54,16.35,16.73,"Percentage","Public Health Scotland (Prescribing Information System)"
